PASSENGERS,FREIGHT,MAIL,DISTANCE,UNIQUE_CARRIER,AIRLINE_ID,AIRLINE_ID,UNIQUE_CARRIER_ENTITY,REGION,CARRIER,CARRIER_NAME,CARRIER_GROUP,CARRIER_GROUP_NEW,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_FIPS,ORIGIN_STATE_NM,ORIGIN_WAC,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_FIPS,DEST_STATE_NM,DEST_WAC,YEAR,QUARTER,MONTH,DISTANCE_GROUP,CLASS
2,0,0,1607,AA,19805,19805,0A050,D,AA,American Airlines Inc.,3,3,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,14635,1463502,31714,RSW,"Fort Myers, FL",FL,12,Florida,33,2017,2,6,4,F
2,0,0,853,AA,19805,19805,0A050,D,AA,American Airlines Inc.,3,3,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,14679,1467903,33570,SAN,"San Diego, CA",CA,6,California,91,2017,2,6,2,F
2,0,0,359,WN,19393,19393,6725,D,WN,Southwest Airlines Co.,3,3,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,10279,1027903,30279,AMA,"Amarillo, TX",TX,48,Texas,74,2017,2,6,1,F
3,0,0,735,0WQ,21352,21352,1150,D,0WQ,Avjet Corporation,1,1,11503,1150303,31503,EGE,"Eagle, CO",CO,8,Colorado,82,10800,1080003,32575,BUR,"Burbank, CA",CA,6,California,91,2017,2,6,2,L
3,0,0,1659,WN,19393,19393,6725,D,WN,Southwest Airlines Co.,3,3,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,12391,1239102,31703,ISP,"Islip, NY",NY,36,New York,22,2017,2,6,4,F
3,0,0,725,0WQ,21352,21352,1150,D,0WQ,Avjet Corporation,1,1,10372,1037203,30372,ASE,"Aspen, CO",CO,8,Colorado,82,10800,1080003,32575,BUR,"Burbank, CA",CA,6,California,91,2017,2,6,2,L
3,0,0,73,WN,19393,19393,6725,D,WN,Southwest Airlines Co.,3,3,11109,1110902,30189,COS,"Colorado Springs, CO",CO,8,Colorado,82,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,2017,2,6,1,F
4,0,0,735,0WQ,21352,21352,1150,D,0WQ,Avjet Corporation,1,1,10800,1080003,32575,BUR,"Burbank, CA",CA,6,California,91,11503,1150303,31503,EGE,"Eagle, CO",CO,8,Colorado,82,2017,2,6,2,L
5,0,0,1737,WN,19393,19393,6725,D,WN,Southwest Airlines Co.,3,3,14307,1430702,30721,PVD,"Providence, RI",RI,44,Rhode Island,15,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,2017,2,6,4,F
6,0,0,919,27Q,21652,21652,1194,D,27Q,"Jet Aviation Flight Services, Inc.",1,1,14792,1479201,34792,SGR,"Sugar Land, TX",TX,48,Texas,74,10372,1037203,30372,ASE,"Aspen, CO",CO,8,Colorado,82,2017,2,6,2,L
7,0,0,1199,NK,20416,20416,6830,D,NK,Spirit Air Lines,3,3,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,10397,1039705,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,2017,2,6,3,F
8,0,0,1659,WN,19393,19393,6725,D,WN,Southwest Airlines Co.,3,3,12391,1239102,31703,ISP,"Islip, NY",NY,36,New York,22,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,2017,2,6,4,F
8,0,0,420,WN,19393,19393,6725,D,WN,Southwest Airlines Co.,3,3,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,12278,1227803,30928,ICT,"Wichita, KS",KS,20,Kansas,62,2017,2,6,1,F
